heat_demand_kW,price,temperature
2.428,49.41,2.472
2.348,58.09,1.427
2.34,64.09,-0.813
2.452,77.09,-1.667
2.656,82.17,-1.939
2.692,82.59,-2.244
2.552,80.09,-2.468
2.456,77.92,-2.566
2.492,67.35,-2.732
2.536,64.89,-3.031
2.528,56,-3.132
2.592,49.97,-3.036
2.632,47.26,-2.748
2.64,48.12,-2.359
2.628,47.97,-1.798
2.628,51.58,-1.462
2.684,60.06,-1.708
2.8,82.93,-1.667
2.872,94.72,-0.411
2.888,99.74,0.979
2.832,88.39,1.842
2.736,78.9,2.303
2.64,71.27,2.447
2.548,70.24,2.343
2.448,75.05,1.961
2.376,82.43,0.346
2.38,96.81,-1.655
2.504,108.43,-1.976
2.724,126.3,-2.008
2.776,116.6,-2.119
2.64,107.52,-2.255
2.552,91.2,-2.199
2.6,85.92,-2.576
2.66,83.26,-4.081
2.664,80.29,-5.393
2.74,71.94,-6.014
2.796,68.76,-6.271
2.816,69.37,-6.502
2.812,67.03,-6.755
2.824,66.63,-6.95
2.892,69.37,-6.989
3.024,83.74,-6.522
3.108,94.03,-4.053
3.132,96.07,-1.838
3.076,84.93,0.137
2.972,77.15,1.332
2.872,70.1,1.839
2.768,68.1,1.956
2.66,68.23,1.688
2.58,71.93,0.654
2.576,83.24,-1.475
2.704,89.82,-2.318
2.936,94.87,-2.722
2.984,100.12,-3.013
2.832,95.91,-3.303
2.724,86.93,-3.596
2.768,79.53,-3.906
2.816,77.86,-4.097
2.812,72.53,-3.972
2.88,73.82,-3.911
2.924,71.42,-3.897
2.932,70.89,-3.928
2.916,69.82,-3.91
2.916,69.51,-4.013
2.972,74.33,-4.204
3.092,85.91,-4.271
3.168,104.94,-3.419
3.172,122.45,-1.618
3.108,93.55,0.214
2.992,82.98,1.325
2.88,77.09,1.946
2.764,74.91,2.077
2.648,69.98,1.648
2.564,77.94,0.419
2.552,82.13,-1.107
2.672,86.93,-1.389
2.896,99.08,-1.605
2.932,101.1,-2.001
2.78,86.93,-2.507
2.668,82.95,-3.136
2.704,83.57,-3.612
2.748,79.48,-3.863
2.736,66.63,-4.051
